Economic_Freedom_Indicator,Outcome_Variable,Lag_Years,Correlation,P_Value,Sample_Size,CI_Lower,CI_Upper,Strength,Significance
Property Rights,HDI,-22,0.8177,0.0,133,0.7522,0.8672,Very Strong,Significant
Property Rights,HDI,-15,0.8177,0.0,467,0.7852,0.8457,Very Strong,Significant
Property Rights,HDI,-14,0.8167,0.0,523,0.786,0.8434,Very Strong,Significant
Government Integrity,HDI,-9,0.8162,0.0,822,0.792,0.8378,Very Strong,Significant
Property Rights,HDI,-10,0.8146,0.0,759,0.7891,0.8372,Very Strong,Significant
Government Integrity,HDI,-8,0.8134,0.0,886,0.7899,0.8346,Very Strong,Significant
Property Rights,HDI,-9,0.8083,0.0,822,0.7832,0.8307,Very Strong,Significant
Property Rights,HDI,-23,0.8069,0.0,98,0.7245,0.8666,Very Strong,Significant
Government Integrity,HDI,-7,0.806,0.0,952,0.7826,0.8272,Very Strong,Significant
Property Rights,HDI,-8,0.804,0.0,886,0.7794,0.8261,Very Strong,Significant
Judicial Effectiveness,HDI,3,0.804,0.0,159,0.7411,0.8529,Very Strong,Significant
Government Integrity,HDI,-6,0.7995,0.0,1019,0.7762,0.8206,Very Strong,Significant
Judicial Effectiveness,HDI,-17,0.7982,0.0,267,0.75,0.8379,Very Strong,Significant
Judicial Effectiveness,HDI,-18,0.7935,0.0,250,0.7425,0.8353,Very Strong,Significant
Property Rights,HDI,-7,0.7933,0.0,952,0.7685,0.8157,Very Strong,Significant
Property Rights,HDI,-24,0.7908,0.0,63,0.6753,0.8684,Very Strong,Significant
Government Integrity,HDI,-5,0.7905,0.0,1094,0.7671,0.8117,Very Strong,Significant
Government Integrity,Life_Expectancy,12,0.79,0.0,647,0.7591,0.8173,Very Strong,Significant
Judicial Effectiveness,HDI,-19,0.7895,0.0,225,0.7346,0.8342,Very Strong,Significant
Government Integrity,Life_Expectancy,14,0.7891,0.0,533,0.7547,0.8191,Very Strong,Significant
Government Integrity,HDI,11,0.788,0.0,707,0.7583,0.8144,Very Strong,Significant
Property Rights,HDI,-6,0.7879,0.0,1019,0.7634,0.8101,Very Strong,Significant
Judicial Effectiveness,HDI,-20,0.7876,0.0,199,0.7283,0.8352,Very Strong,Significant
Government Integrity,Life_Expectancy,13,0.7876,0.0,589,0.7549,0.8165,Very Strong,Significant
Government Integrity,Life_Expectancy,15,0.7876,0.0,477,0.7509,0.8195,Very Strong,Significant
Government Integrity,HDI,12,0.7857,0.0,647,0.7543,0.8135,Very Strong,Significant
Government Integrity,HDI,9,0.7856,0.0,832,0.7581,0.8103,Very Strong,Significant
Government Integrity,HDI,10,0.7855,0.0,769,0.7568,0.8111,Very Strong,Significant
Judicial Effectiveness,HDI,2,0.7854,0.0,219,0.7287,0.8314,Very Strong,Significant
Government Integrity,HDI,8,0.7852,0.0,896,0.7588,0.8091,Very Strong,Significant
Government Integrity,Life_Expectancy,11,0.785,0.0,707,0.755,0.8118,Very Strong,Significant
Judicial Effectiveness,HDI,-16,0.7849,0.0,283,0.7357,0.826,Very Strong,Significant
Government Integrity,Life_Expectancy,16,0.7821,0.0,423,0.7421,0.8166,Very Strong,Significant
Government Integrity,HDI,7,0.7814,0.0,961,0.7555,0.8048,Very Strong,Significant
Government Integrity,HDI,13,0.7797,0.0,589,0.7459,0.8095,Very Strong,Significant
Judicial Effectiveness,HDI,-22,0.7782,0.0,133,0.7007,0.8374,Very Strong,Significant
Government Integrity,HDI,6,0.778,0.0,1028,0.7527,0.801,Very Strong,Significant
Government Integrity,Life_Expectancy,10,0.7775,0.0,769,0.7479,0.804,Very Strong,Significant
Judicial Effectiveness,HDI,-21,0.7764,0.0,168,0.7083,0.8302,Very Strong,Significant
Government Integrity,Life_Expectancy,17,0.7761,0.0,370,0.7321,0.8137,Very Strong,Significant
Government Integrity,HDI,14,0.776,0.0,533,0.7399,0.8077,Very Strong,Significant
Property Rights,HDI,-5,0.774,0.0,1094,0.749,0.7967,Very Strong,Significant
Government Integrity,Life_Expectancy,9,0.7722,0.0,832,0.7432,0.7982,Very Strong,Significant
Judicial Effectiveness,HDI,-23,0.7722,0.0,98,0.6776,0.8417,Very Strong,Significant
Government Integrity,Life_Expectancy,-24,0.7706,0.0,68,0.652,0.8524,Very Strong,Significant
Judicial Effectiveness,HDI,-15,0.7704,0.0,297,0.7197,0.8129,Very Strong,Significant
Government Integrity,HDI,15,0.7694,0.0,477,0.73,0.8037,Very Strong,Significant
Government Integrity,Life_Expectancy,8,0.7684,0.0,896,0.7402,0.794,Very Strong,Significant
Government Integrity,HDI,5,0.7673,0.0,1105,0.7419,0.7905,Very Strong,Significant
Government Spending,HDI,-24,-0.7652,0.0,63,-0.8515,-0.6385,Very Strong,Significant
Government Integrity,Life_Expectancy,18,0.765,0.0,320,0.7154,0.807,Very Strong,Significant
Government Integrity,HDI,-4,0.7631,0.0,1184,0.7382,0.7859,Very Strong,Significant
Government Integrity,Life_Expectancy,7,0.7618,0.0,962,0.734,0.7871,Very Strong,Significant
Government Integrity,Life_Expectancy,-21,0.7615,0.0,180,0.6924,0.8168,Very Strong,Significant
Government Integrity,HDI,16,0.7603,0.0,423,0.7169,0.7978,Very Strong,Significant
Government Spending,HDI,-23,-0.7574,0.0,98,-0.831,-0.6579,Very Strong,Significant
Government Integrity,Life_Expectancy,-22,0.7572,0.0,140,0.6762,0.8201,Very Strong,Significant
Judicial Effectiveness,HDI,-14,0.7564,0.0,309,0.7043,0.8004,Very Strong,Significant
Government Integrity,Life_Expectancy,-19,0.756,0.0,272,0.7,0.8028,Very Strong,Significant
Government Integrity,Life_Expectancy,-20,0.7555,0.0,225,0.6932,0.8066,Very Strong,Significant
Government Integrity,HDI,4,0.7546,0.0,1196,0.7291,0.778,Very Strong,Significant
Government Integrity,Life_Expectancy,-11,0.7544,0.0,709,0.7208,0.7845,Very Strong,Significant
Government Integrity,Life_Expectancy,-8,0.7544,0.0,898,0.7248,0.7813,Very Strong,Significant
Government Integrity,Life_Expectancy,-12,0.7543,0.0,649,0.719,0.7856,Very Strong,Significant
Government Integrity,Life_Expectancy,-15,0.7535,0.0,479,0.7119,0.7897,Very Strong,Significant
Property Rights,Life_Expectancy,-11,0.7534,0.0,709,0.7196,0.7835,Very Strong,Significant
Government Integrity,Life_Expectancy,-18,0.7533,0.0,322,0.7017,0.797,Very Strong,Significant
Government Integrity,Life_Expectancy,-9,0.7531,0.0,834,0.7221,0.7811,Very Strong,Significant
Government Integrity,Life_Expectancy,-17,0.753,0.0,372,0.7054,0.7939,Very Strong,Significant
Government Integrity,Life_Expectancy,-16,0.7528,0.0,425,0.7084,0.7913,Very Strong,Significant
Government Integrity,Life_Expectancy,-13,0.7528,0.0,591,0.7156,0.7857,Very Strong,Significant
Government Integrity,HDI,17,0.7527,0.0,370,0.7049,0.7938,Very Strong,Significant
Government Integrity,Life_Expectancy,-14,0.7527,0.0,535,0.7135,0.7873,Very Strong,Significant
Government Integrity,Life_Expectancy,-10,0.7521,0.0,771,0.7198,0.7813,Very Strong,Significant
Judicial Effectiveness,HDI,-11,0.752,0.0,328,0.7008,0.7956,Very Strong,Significant
Government Integrity,Life_Expectancy,6,0.7514,0.0,1030,0.7235,0.7768,Very Strong,Significant
Property Rights,Life_Expectancy,-12,0.7512,0.0,649,0.7156,0.7829,Very Strong,Significant
Property Rights,Life_Expectancy,-8,0.7511,0.0,898,0.7211,0.7783,Very Strong,Significant
Property Rights,Life_Expectancy,-10,0.7511,0.0,771,0.7186,0.7804,Very Strong,Significant
Judicial Effectiveness,HDI,-24,0.751,0.0,63,0.6182,0.8421,Very Strong,Significant
Government Spending,HDI,-22,-0.7499,0.0,133,-0.816,-0.6645,Very Strong,Significant
Property Rights,Life_Expectancy,-9,0.7499,0.0,834,0.7185,0.7781,Very Strong,Significant
Government Integrity,Life_Expectancy,19,0.7488,0.0,270,0.6913,0.797,Very Strong,Significant
Judicial Effectiveness,HDI,-8,0.7487,0.0,346,0.6984,0.7917,Very Strong,Significant
Judicial Effectiveness,HDI,-13,0.7486,0.0,315,0.6956,0.7935,Very Strong,Significant
Judicial Effectiveness,HDI,-12,0.7486,0.0,322,0.6962,0.793,Very Strong,Significant
Government Integrity,Life_Expectancy,-23,0.7472,0.0,104,0.6478,0.8215,Very Strong,Significant
Property Rights,Life_Expectancy,-13,0.7458,0.0,591,0.7077,0.7796,Very Strong,Significant
Judicial Effectiveness,HDI,-9,0.7458,0.0,342,0.6947,0.7894,Very Strong,Significant
Government Integrity,Life_Expectancy,24,0.745,0.0,66,0.6136,0.8363,Very Strong,Significant
Government Spending,HDI,-20,-0.7439,0.0,216,-0.7981,-0.6777,Very Strong,Significant
Government Integrity,HDI,3,0.7438,0.0,1297,0.7185,0.7672,Very Strong,Significant
Government Spending,HDI,20,-0.7435,0.0,223,-0.797,-0.6784,Very Strong,Significant
Government Spending,HDI,17,-0.7435,0.0,370,-0.7859,-0.6942,Very Strong,Significant
Government Integrity,Life_Expectancy,-7,0.7433,0.0,964,0.7137,0.7703,Very Strong,Significant
Government Integrity,Life_Expectancy,22,0.7432,0.0,138,0.6578,0.8098,Very Strong,Significant
Judicial Effectiveness,HDI,-10,0.743,0.0,335,0.6908,0.7874,Very Strong,Significant
Government Spending,HDI,-19,-0.7427,0.0,262,-0.7926,-0.683,Very Strong,Significant
Government Spending,HDI,16,-0.7423,0.0,423,-0.7823,-0.6962,Very Strong,Significant
Government Spending,HDI,18,-0.7412,0.0,320,-0.7869,-0.6874,Very Strong,Significant
Property Rights,HDI,-4,0.741,0.0,1184,0.7142,0.7657,Very Strong,Significant
Government Integrity,HDI,18,0.7399,0.0,320,0.6859,0.7858,Very Strong,Significant
Government Integrity,HDI,-3,0.7399,0.0,1286,0.7141,0.7637,Very Strong,Significant
Property Rights,Life_Expectancy,-14,0.7397,0.0,535,0.6988,0.7759,Very Strong,Significant
Government Spending,HDI,15,-0.7395,0.0,477,-0.7776,-0.6959,Very Strong,Significant
Government Spending,HDI,19,-0.7392,0.0,270,-0.789,-0.6799,Very Strong,Significant
Government Integrity,Life_Expectancy,20,0.7382,0.0,223,0.672,0.7927,Very Strong,Significant
Government Integrity,Life_Expectancy,21,0.738,0.0,178,0.6629,0.7984,Very Strong,Significant
Government Integrity,HDI,2,0.7378,0.0,1409,0.7131,0.7607,Very Strong,Significant
Government Integrity,Life_Expectancy,23,0.7374,0.0,102,0.6338,0.815,Very Strong,Significant
Government Spending,HDI,-21,-0.7369,0.0,172,-0.7985,-0.6601,Very Strong,Significant
Government Spending,HDI,14,-0.7365,0.0,533,-0.7731,-0.6951,Very Strong,Significant
Government Spending,HDI,-18,-0.7359,0.0,311,-0.783,-0.6803,Very Strong,Significant
Government Spending,HDI,13,-0.735,0.0,589,-0.77,-0.6955,Very Strong,Significant
Government Spending,HDI,22,-0.7341,0.0,138,-0.8028,-0.6463,Very Strong,Significant
Property Rights,Life_Expectancy,-7,0.7341,0.0,964,0.7036,0.762,Very Strong,Significant
Government Integrity,Life_Expectancy,-6,0.7332,0.0,1032,0.7036,0.7602,Very Strong,Significant
Property Rights,Life_Expectancy,-15,0.733,0.0,479,0.6887,0.7719,Very Strong,Significant
Government Integrity,HDI,-2,0.7316,0.0,1400,0.7063,0.7551,Very Strong,Significant
Government Integrity,Life_Expectancy,5,0.7315,0.0,1109,0.7029,0.7577,Very Strong,Significant
Government Integrity,HDI,1,0.7312,0.0,1528,0.707,0.7538,Very Strong,Significant
Government Spending,HDI,12,-0.73,0.0,647,-0.7641,-0.6918,Very Strong,Significant
Tax Burden,Life_Expectancy,-16,-0.7299,0.0,425,-0.7714,-0.6821,Very Strong,Significant
Tax Burden,Life_Expectancy,-15,-0.7286,0.0,479,-0.7681,-0.6836,Very Strong,Significant
Government Integrity,HDI,-1,0.7285,0.0,1522,0.7041,0.7513,Very Strong,Significant
Property Rights,Life_Expectancy,-16,0.7283,0.0,425,0.6803,0.77,Very Strong,Significant
Government Spending,HDI,21,-0.728,0.0,178,-0.7904,-0.6505,Very Strong,Significant
Property Rights,Life_Expectancy,11,0.7277,0.0,707,0.691,0.7606,Very Strong,Significant
Government Spending,HDI,-17,-0.7274,0.0,360,-0.7726,-0.6747,Very Strong,Significant
Tax Burden,Life_Expectancy,-14,-0.7272,0.0,535,-0.7648,-0.6847,Very Strong,Significant
Tax Burden,Life_Expectancy,-17,-0.7271,0.0,372,-0.7717,-0.6753,Very Strong,Significant
Property Rights,Life_Expectancy,12,0.7269,0.0,647,0.6884,0.7613,Very Strong,Significant
Property Rights,Life_Expectancy,-6,0.7268,0.0,1032,0.6967,0.7544,Very Strong,Significant
Property Rights,Life_Expectancy,16,0.7263,0.0,423,0.6779,0.7685,Very Strong,Significant
Property Rights,Life_Expectancy,15,0.7263,0.0,477,0.681,0.7662,Very Strong,Significant
Government Spending,HDI,23,-0.7262,0.0,102,-0.8068,-0.6192,Very Strong,Significant
Property Rights,Life_Expectancy,17,0.7255,0.0,370,0.6734,0.7705,Very Strong,Significant
Government Integrity,HDI,0,0.7253,0.0,1652,0.7016,0.7474,Very Strong,Significant
Property Rights,Life_Expectancy,14,0.7251,0.0,533,0.6822,0.763,Very Strong,Significant
Government Spending,HDI,11,-0.7249,0.0,707,-0.7581,-0.6879,Very Strong,Significant
Property Rights,Life_Expectancy,13,0.7242,0.0,589,0.6833,0.7605,Very Strong,Significant
Judicial Effectiveness,HDI,-6,0.7239,0.0,349,0.6698,0.7703,Very Strong,Significant
Property Rights,Life_Expectancy,-17,0.7238,0.0,372,0.6716,0.7689,Very Strong,Significant
Tax Burden,Life_Expectancy,-13,-0.7233,0.0,591,-0.7597,-0.6825,Very Strong,Significant
Property Rights,Life_Expectancy,-18,0.723,0.0,322,0.6664,0.7713,Very Strong,Significant
Tax Burden,Life_Expectancy,-18,-0.723,0.0,322,-0.7714,-0.6664,Very Strong,Significant
Judicial Effectiveness,HDI,-7,0.7221,0.0,348,0.6676,0.7689,Very Strong,Significant
Government Integrity,Life_Expectancy,4,0.7201,0.0,1202,0.6917,0.7462,Very Strong,Significant
Property Rights,HDI,11,0.7199,0.0,707,0.6824,0.7536,Very Strong,Significant
Property Rights,Life_Expectancy,10,0.7194,0.0,769,0.6835,0.7519,Very Strong,Significant
Property Rights,HDI,-3,0.7184,0.0,1286,0.6908,0.7438,Very Strong,Significant
Government Integrity,HDI,19,0.7183,0.0,270,0.6552,0.7716,Very Strong,Significant
Property Rights,Life_Expectancy,-21,0.7182,0.0,180,0.6391,0.7823,Very Strong,Significant
Tax Burden,Life_Expectancy,-19,-0.7179,0.0,272,-0.771,-0.6549,Very Strong,Significant
Government Spending,HDI,24,-0.7176,0.0,66,-0.8176,-0.5755,Very Strong,Significant
Property Rights,HDI,12,0.7174,0.0,647,0.6778,0.7528,Very Strong,Significant
Property Rights,Life_Expectancy,-19,0.7173,0.0,272,0.6541,0.7705,Very Strong,Significant
Government Spending,HDI,-16,-0.7173,0.0,413,-0.7611,-0.667,Very Strong,Significant
Government Integrity,Life_Expectancy,-5,0.7161,0.0,1111,0.6862,0.7436,Very Strong,Significant
Tax Burden,Life_Expectancy,-12,-0.7161,0.0,649,-0.7516,-0.6764,Very Strong,Significant
Property Rights,HDI,13,0.7145,0.0,589,0.6725,0.7519,Very Strong,Significant
Government Spending,HDI,10,-0.7143,0.0,769,-0.7473,-0.6779,Very Strong,Significant
Property Rights,Life_Expectancy,9,0.7136,0.0,832,0.6786,0.7454,Very Strong,Significant
Investment Freedom,Extreme_Poverty_Share,-24,-0.7134,0.0,51,-0.8265,-0.5449,Very Strong,Significant
Government Integrity,Life_Expectancy,3,0.7133,0.0,1306,0.6856,0.7389,Very Strong,Significant
Property Rights,HDI,14,0.7131,0.0,533,0.6687,0.7525,Very Strong,Significant
Government Spending,HDI,-10,-0.7128,0.0,759,-0.7461,-0.676,Very Strong,Significant
Property Rights,HDI,10,0.7117,0.0,769,0.6749,0.7449,Very Strong,Significant
Property Rights,Life_Expectancy,-20,0.7116,0.0,225,0.6404,0.7706,Very Strong,Significant
Property Rights,Life_Expectancy,18,0.7113,0.0,320,0.6525,0.7615,Very Strong,Significant
Property Rights,Extreme_Poverty_Share,-24,-0.7109,0.0,51,-0.8249,-0.5413,Very Strong,Significant
Government Spending,Gini_Index,24,0.7105,0.0,68,0.5683,0.8115,Very Strong,Significant
Government Spending,HDI,-15,-0.7104,0.0,467,-0.7526,-0.6623,Very Strong,Significant
Government Spending,HDI,8,-0.7103,0.0,896,-0.7413,-0.6763,Very Strong,Significant
Government Spending,HDI,-11,-0.7103,0.0,697,-0.7453,-0.6715,Very Strong,Significant
Government Spending,HDI,9,-0.7103,0.0,832,-0.7424,-0.6749,Very Strong,Significant
Property Rights,HDI,15,0.7101,0.0,477,0.6625,0.7519,Very Strong,Significant
Government Spending,HDI,-9,-0.709,0.0,822,-0.7415,-0.6733,Very Strong,Significant
Property Rights,HDI,9,0.7089,0.0,832,0.6734,0.7411,Very Strong,Significant
Property Rights,Life_Expectancy,8,0.7086,0.0,896,0.6744,0.7397,Very Strong,Significant
Government Spending,HDI,7,-0.7086,0.0,961,-0.7388,-0.6757,Very Strong,Significant
Property Rights,HDI,8,0.7083,0.0,896,0.6741,0.7395,Very Strong,Significant
Judicial Effectiveness,Life_Expectancy,4,0.7082,0.0,104,0.597,0.7927,Very Strong,Significant
Judicial Effectiveness,Life_Expectancy,5,0.7081,0.0,54,0.5434,0.8204,Very Strong,Significant
Tax Burden,Life_Expectancy,-20,-0.7077,0.0,225,-0.7674,-0.6357,Very Strong,Significant
Tax Burden,Life_Expectancy,-11,-0.7072,0.0,709,-0.7422,-0.6684,Very Strong,Significant
Property Rights,HDI,-2,0.7067,0.0,1400,0.6795,0.732,Very Strong,Significant
Government Spending,HDI,6,-0.7067,0.0,1028,-0.7361,-0.6747,Very Strong,Significant
Property Rights,Life_Expectancy,-22,0.7065,0.0,140,0.6124,0.7809,Very Strong,Significant
Government Spending,HDI,-8,-0.7065,0.0,886,-0.738,-0.6719,Very Strong,Significant
Property Rights,HDI,16,0.7053,0.0,423,0.6539,0.7502,Very Strong,Significant
Property Rights,Life_Expectancy,-5,0.7051,0.0,1111,0.6743,0.7335,Very Strong,Significant
Government Spending,HDI,-12,-0.7043,0.0,637,-0.7414,-0.6628,Very Strong,Significant
Government Integrity,Life_Expectancy,2,0.7024,0.0,1421,0.6751,0.7278,Very Strong,Significant
Property Rights,HDI,7,0.7022,0.0,961,0.6686,0.7329,Very Strong,Significant
Government Spending,HDI,-14,-0.7019,0.0,523,-0.7429,-0.6556,Very Strong,Significant
Government Spending,HDI,-13,-0.7014,0.0,579,-0.7406,-0.6575,Very Strong,Significant
Property Rights,Life_Expectancy,7,0.7004,0.0,962,0.6667,0.7312,Very Strong,Significant
Property Rights,HDI,17,0.6997,0.0,370,0.6436,0.7482,Strong,Significant
Judicial Effectiveness,Life_Expectancy,3,0.6995,0.0,161,0.6109,0.7708,Strong,Significant
Tax Burden,Life_Expectancy,-10,-0.6989,0.0,771,-0.7333,-0.6609,Strong,Significant
Tax Burden,HDI,-19,-0.6983,0.0,262,-0.7556,-0.6305,Strong,Significant
Property Rights,Life_Expectancy,19,0.6978,0.0,270,0.6309,0.7543,Strong,Significant
Tax Burden,HDI,-18,-0.6976,0.0,311,-0.7505,-0.6357,Strong,Significant
Property Rights,HDI,-1,0.6974,0.0,1522,0.6707,0.7224,Strong,Significant
Tax Burden,HDI,-17,-0.6973,0.0,360,-0.7468,-0.6401,Strong,Significant
Government Spending,HDI,-7,-0.6972,0.0,952,-0.7284,-0.663,Strong,Significant
Property Rights,HDI,6,0.6968,0.0,1028,0.6639,0.727,Strong,Significant
Judicial Effectiveness,Life_Expectancy,2,0.6963,0.0,222,0.6216,0.7584,Strong,Significant
Government Integrity,HDI,20,0.6958,0.0,223,0.6213,0.7579,Strong,Significant
Tax Burden,HDI,-20,-0.6957,0.0,216,-0.7587,-0.6198,Strong,Significant
Tax Burden,Life_Expectancy,-21,-0.6956,0.0,180,-0.7641,-0.6115,Strong,Significant
Government Spending,HDI,-6,-0.6942,0.0,1019,-0.7247,-0.6609,Strong,Significant
Property Rights,Extreme_Poverty_Share,-17,-0.694,0.0,301,-0.7483,-0.6304,Strong,Significant
Property Rights,Life_Expectancy,24,0.694,0.0,66,0.5432,0.8014,Strong,Significant
Property Rights,Life_Expectancy,6,0.693,0.0,1030,0.6599,0.7235,Strong,Significant
Property Rights,HDI,18,0.6922,0.0,320,0.6304,0.7453,Strong,Significant
Tax Burden,HDI,-16,-0.6921,0.0,413,-0.7392,-0.6382,Strong,Significant
Judicial Effectiveness,HDI,0,0.6919,0.0,404,0.6374,0.7396,Strong,Significant
Tax Burden,HDI,-24,-0.6916,0.0,63,-0.802,-0.5356,Strong,Significant
Judicial Effectiveness,HDI,1,0.6913,0.0,294,0.6265,0.7467,Strong,Significant
Government Spending,HDI,-5,-0.6908,0.0,1094,-0.7206,-0.6585,Strong,Significant
Government Integrity,Life_Expectancy,-4,0.6902,0.0,1204,0.6594,0.7186,Strong,Significant
Property Rights,Gini_Index,-23,-0.6901,0.0,105,-0.7787,-0.5744,Strong,Significant
Government Spending,HDI,5,-0.69,0.0,1105,-0.7197,-0.6578,Strong,Significant
Judicial Effectiveness,Life_Expectancy,-17,0.6897,0.0,272,0.6218,0.7474,Strong,Significant
Tax Burden,Life_Expectancy,-22,-0.6897,0.0,140,-0.7677,-0.5914,Strong,Significant
Property Rights,Extreme_Poverty_Share,-18,-0.689,0.0,255,-0.7485,-0.6186,Strong,Significant
Tax Burden,HDI,-22,-0.6888,0.0,133,-0.7689,-0.5875,Strong,Significant
Tax Burden,HDI,-21,-0.6886,0.0,172,-0.7599,-0.6008,Strong,Significant
Tax Burden,Life_Expectancy,-9,-0.6886,0.0,834,-0.7227,-0.6511,Strong,Significant
Property Rights,Life_Expectancy,20,0.6883,0.0,223,0.6122,0.7517,Strong,Significant
Tax Burden,HDI,-23,-0.6882,0.0,98,-0.7801,-0.5673,Strong,Significant
Judicial Effectiveness,HDI,-5,0.6872,0.0,356,0.6281,0.7384,Strong,Significant
Tax Burden,HDI,-15,-0.6871,0.0,467,-0.7322,-0.636,Strong,Significant
Judicial Effectiveness,Life_Expectancy,-23,0.6861,0.0,104,0.5686,0.7761,Strong,Significant
Judicial Effectiveness,Life_Expectancy,-18,0.6853,0.0,256,0.6143,0.7453,Strong,Significant
Property Rights,HDI,5,0.6848,0.0,1105,0.6522,0.7149,Strong,Significant
Government Integrity,Life_Expectancy,1,0.6848,0.0,1545,0.6574,0.7104,Strong,Significant
Judicial Effectiveness,Life_Expectancy,-22,0.6848,0.0,140,0.5854,0.7639,Strong,Significant
Property Rights,Life_Expectancy,-23,0.6844,0.0,104,0.5665,0.7748,Strong,Significant
Property Rights,HDI,19,0.6841,0.0,270,0.6149,0.7428,Strong,Significant
Tax Burden,HDI,-14,-0.6839,0.0,523,-0.727,-0.6354,Strong,Significant
Business Freedom,HDI,-1,0.6835,0.0,1522,0.6557,0.7094,Strong,Significant
Judicial Effectiveness,Life_Expectancy,-21,0.6835,0.0,176,0.5958,0.755,Strong,Significant
Trade Freedom,HDI,0,0.6822,0.0,1652,0.6555,0.7071,Strong,Significant
Trade Freedom,HDI,2,0.6815,0.0,1409,0.6525,0.7086,Strong,Significant
Government Integrity,Life_Expectancy,-3,0.6813,0.0,1308,0.6511,0.7093,Strong,Significant
Government Spending,HDI,4,-0.6809,0.0,1196,-0.7102,-0.6493,Strong,Significant
Business Freedom,HDI,0,0.6804,0.0,1652,0.6537,0.7055,Strong,Significant
Tax Burden,HDI,-13,-0.6801,0.0,579,-0.7216,-0.6337,Strong,Significant
Tax Burden,Life_Expectancy,-23,-0.6799,0.0,104,-0.7715,-0.5607,Strong,Significant
Government Spending,Gini_Index,23,0.6789,0.0,105,0.5602,0.7704,Strong,Significant
Property Rights,HDI,0,0.6788,0.0,1652,0.6519,0.704,Strong,Significant
Tax Burden,Life_Expectancy,-8,-0.6788,0.0,898,-0.7126,-0.6419,Strong,Significant
Judicial Effectiveness,Life_Expectancy,-16,0.6787,0.0,287,0.6109,0.7366,Strong,Significant
Property Rights,HDI,1,0.6785,0.0,1528,0.6504,0.7046,Strong,Significant
Judicial Effectiveness,Life_Expectancy,-11,0.6776,0.0,328,0.6143,0.7321,Strong,Significant
Overall Score,Gini_Index,-24,-0.6773,0.0,68,-0.7884,-0.5234,Strong,Significant
Judicial Effectiveness,Life_Expectancy,-12,0.6773,0.0,322,0.6134,0.7324,Strong,Significant
Trade Freedom,HDI,1,0.677,0.0,1528,0.6489,0.7033,Strong,Significant
Property Rights,Extreme_Poverty_Share,-16,-0.677,0.0,351,-0.7299,-0.616,Strong,Significant
Property Rights,Life_Expectancy,21,0.6762,0.0,178,0.5876,0.7488,Strong,Significant
Property Rights,HDI,20,0.6755,0.0,223,0.5971,0.7411,Strong,Significant
Property Rights,HDI,4,0.6752,0.0,1196,0.6432,0.7049,Strong,Significant
Judicial Effectiveness,HDI,-1,0.6747,0.0,402,0.6176,0.7247,Strong,Significant
Property Rights,HDI,2,0.6745,0.0,1409,0.6449,0.702,Strong,Significant
Judicial Effectiveness,Life_Expectancy,-13,0.674,0.0,316,0.6089,0.73,Strong,Significant
Judicial Effectiveness,Life_Expectancy,-8,0.674,0.0,346,0.6121,0.7277,Strong,Significant
