Indicator,Lag_Years,Correlation_with_Gini,P_Value,Standard_Error,CI_Lower_95,CI_Upper_95,Sample_Size,Gini_Mean,Indicator_Mean,Significant_05,Significant_01
Trade Freedom,8,-0.5006,0.0,0.0283,-0.5472,-0.451,935,37.6679,81.5797,True,True
Business Freedom,20,-0.5,0.0,0.0564,-0.5897,-0.3981,238,40.1109,71.8122,True,True
Government Integrity,10,-0.494,0.0,0.0307,-0.5446,-0.4399,804,37.87,53.3604,True,True
Property Rights,9,-0.4903,0.0,0.0296,-0.5392,-0.4381,869,37.7799,60.184,True,True
Trade Freedom,4,-0.489,0.0,0.0247,-0.5301,-0.4456,1250,37.4583,79.9542,True,True
Government Integrity,9,-0.4852,0.0,0.0297,-0.5345,-0.4327,869,37.7799,53.1825,True,True
Property Rights,8,-0.4768,0.0,0.0288,-0.5248,-0.4257,935,37.6679,59.9673,True,True
Government Integrity,8,-0.4767,0.0,0.0288,-0.5248,-0.4256,935,37.6679,53.0425,True,True
Government Integrity,7,-0.4729,0.0,0.0278,-0.5196,-0.4234,1003,37.5743,52.9054,True,True
Fiscal Health,20,-0.4717,0.0,0.06,-0.5689,-0.3614,218,40.2087,71.9294,True,True
Business Freedom,10,-0.471,0.0,0.0311,-0.5231,-0.4154,804,37.87,73.4076,True,True
Government Integrity,6,-0.4699,0.0,0.027,-0.5152,-0.4219,1073,37.4837,52.7321,True,True
Judicial Effectiveness,10,-0.4659,0.0,0.0476,-0.5444,-0.3794,348,36.9917,56.9244,True,True
Property Rights,7,-0.4642,0.0,0.028,-0.5114,-0.4142,1003,37.5743,59.7756,True,True
Overall Score,15,-0.4641,0.0,0.0396,-0.5301,-0.3925,502,38.6876,66.7102,True,True
Government Integrity,5,-0.4612,0.0,0.0261,-0.5055,-0.4146,1154,37.4223,52.3507,True,True
Trade Freedom,3,-0.4571,0.0,0.0242,-0.4982,-0.414,1357,37.4542,79.2139,True,True
Business Freedom,9,-0.4568,0.0,0.0302,-0.5079,-0.4026,869,37.7799,73.3884,True,True
Property Rights,6,-0.4558,0.0,0.0272,-0.5019,-0.407,1073,37.4837,59.5205,True,True
Government Integrity,4,-0.4505,0.0,0.0253,-0.4936,-0.4051,1250,37.4583,51.805,True,True
Property Rights,5,-0.4451,0.0,0.0264,-0.4902,-0.3976,1154,37.4223,59.1764,True,True
Business Freedom,8,-0.4434,0.0,0.0293,-0.4934,-0.3903,935,37.6679,73.294,True,True
Fiscal Health,15,-0.4405,0.0,0.0509,-0.5257,-0.3466,313,38.1045,74.7585,True,True
Government Integrity,3,-0.436,0.0,0.0244,-0.4782,-0.3919,1357,37.4542,51.1211,True,True
Property Rights,4,-0.4316,0.0,0.0255,-0.4757,-0.3854,1250,37.4583,58.7368,True,True
Business Freedom,7,-0.4297,0.0,0.0285,-0.4789,-0.3779,1003,37.5743,73.1563,True,True
Judicial Effectiveness,9,-0.4289,0.0,0.0481,-0.5103,-0.34,355,36.887,56.8042,True,True
Judicial Effectiveness,5,-0.4264,0.0,0.047,-0.506,-0.3396,373,36.6456,56.1777,True,True
Judicial Effectiveness,6,-0.4263,0.0,0.0476,-0.507,-0.3382,363,36.5964,56.6143,True,True
Judicial Effectiveness,7,-0.425,0.0,0.0478,-0.506,-0.3365,361,36.6673,56.7499,True,True
Government Integrity,2,-0.4225,0.0,0.0236,-0.4636,-0.3797,1476,37.5072,50.4462,True,True
Business Freedom,6,-0.4212,0.0,0.0277,-0.4693,-0.3707,1073,37.4837,72.9874,True,True
Trade Freedom,2,-0.4202,0.0,0.0236,-0.4613,-0.3772,1476,37.5072,78.3451,True,True
Property Rights,3,-0.4154,0.0,0.0247,-0.4585,-0.3704,1357,37.4542,58.199,True,True
Judicial Effectiveness,4,-0.4144,0.0,0.0463,-0.4936,-0.3284,388,36.7253,55.4619,True,True
Judicial Effectiveness,8,-0.4142,0.0,0.0482,-0.4964,-0.3246,359,36.7097,56.8329,True,True
Business Freedom,5,-0.4133,0.0,0.0268,-0.46,-0.3643,1154,37.4223,72.7153,True,True
Government Integrity,1,-0.4107,0.0,0.0228,-0.4506,-0.3692,1606,37.5491,49.7137,True,True
Judicial Effectiveness,3,-0.4062,0.0,0.0457,-0.4848,-0.3212,402,36.4851,54.7575,True,True
Business Freedom,4,-0.4034,0.0,0.0259,-0.4489,-0.356,1250,37.4583,72.2862,True,True
Judicial Effectiveness,2,-0.4021,0.0,0.0452,-0.48,-0.3179,413,36.3898,54.3734,True,True
Tax Burden,6,0.4013,0.0,0.028,0.3499,0.4504,1073,37.4837,73.4514,True,True
Tax Burden,5,0.4007,0.0,0.027,0.3511,0.448,1154,37.4223,73.3615,True,True
Fiscal Health,4,-0.4,0.0,0.0467,-0.4804,-0.3129,388,36.7253,73.4817,True,True
Property Rights,2,-0.3991,0.0,0.0239,-0.4412,-0.3554,1476,37.5072,57.6489,True,True
Tax Burden,7,0.3978,0.0,0.029,0.3444,0.4487,1003,37.5743,73.5836,True,True
Trade Freedom,1,-0.3961,0.0,0.0229,-0.4366,-0.354,1606,37.5491,77.4098,True,True
Tax Burden,4,0.3958,0.0,0.026,0.348,0.4416,1250,37.4583,73.2103,True,True
Tax Burden,8,0.394,0.0,0.0301,0.3384,0.4468,935,37.6679,73.6689,True,True
Tax Burden,3,0.3889,0.0,0.025,0.3428,0.4332,1357,37.4542,73.0266,True,True
Tax Burden,9,0.3857,0.0,0.0313,0.3276,0.4409,869,37.7799,73.7535,True,True
Property Rights,1,-0.3811,0.0,0.0231,-0.4221,-0.3385,1606,37.5491,57.1029,True,True
Tax Burden,2,0.3805,0.0,0.0241,0.336,0.4233,1476,37.5072,72.8445,True,True
Judicial Effectiveness,1,-0.378,0.0,0.0451,-0.4568,-0.2932,423,36.2813,54.14,True,True
Tax Burden,10,0.3778,0.0,0.0327,0.3169,0.4355,804,37.87,73.7994,True,True
Business Freedom,3,-0.3772,0.0,0.0252,-0.4219,-0.3306,1357,37.4542,71.6802,True,True
Fiscal Health,10,-0.3702,0.0,0.0499,-0.4575,-0.2758,348,36.9917,74.6451,True,True
Fiscal Health,5,-0.3695,0.0,0.0482,-0.454,-0.2784,373,36.6456,73.7764,True,True
Tax Burden,15,0.3689,0.0,0.0416,0.2907,0.4421,502,38.6876,74.0807,True,True
Fiscal Health,3,-0.3683,0.0,0.0465,-0.4499,-0.2806,402,36.4851,72.7366,True,True
Fiscal Health,6,-0.3651,0.0,0.049,-0.4511,-0.2724,363,36.5964,73.8124,True,True
Fiscal Health,2,-0.3649,0.0,0.0459,-0.4457,-0.2782,413,36.3898,72.5211,True,True
Tax Burden,1,0.3634,0.0,0.0233,0.3201,0.4051,1606,37.5491,72.6037,True,True
Overall Score,10,-0.3584,0.0,0.033,-0.4172,-0.2967,804,37.87,66.3251,True,True
Business Freedom,2,-0.3562,0.0,0.0243,-0.4,-0.3108,1476,37.5072,70.9718,True,True
Fiscal Health,7,-0.3556,0.0,0.0493,-0.4426,-0.262,361,36.6673,73.9008,True,True
Investment Freedom,20,-0.354,0.0,0.0609,-0.4605,-0.2376,238,40.1109,71.4286,True,True
Fiscal Health,9,-0.3524,0.0,0.0498,-0.4403,-0.2577,355,36.887,74.222,True,True
Fiscal Health,1,-0.3517,0.0,0.0456,-0.4325,-0.2652,423,36.2813,72.5319,True,True
Monetary Freedom,20,-0.3421,0.0,0.0612,-0.4497,-0.2247,238,40.1109,77.6811,True,True
Business Freedom,1,-0.3412,0.0,0.0235,-0.3837,-0.2972,1606,37.5491,70.2684,True,True
Fiscal Health,8,-0.3393,0.0,0.0498,-0.4277,-0.2443,359,36.7097,74.1214,True,True
Overall Score,9,-0.3391,0.0,0.0319,-0.3967,-0.2789,869,37.7799,66.2357,True,True
Labor Freedom,20,-0.3358,0.0,0.0613,-0.444,-0.2179,238,40.1109,59.4042,True,True
Tax Burden,20,0.3271,0.0,0.0615,0.2086,0.4361,238,40.1109,74.9143,True,True
Overall Score,8,-0.3206,0.0,0.031,-0.377,-0.2619,935,37.6679,66.1712,True,True
Investment Freedom,15,-0.3189,0.0,0.0424,-0.3954,-0.238,502,38.6876,70.1594,True,True
Financial Freedom,20,-0.3086,0.0,0.0619,-0.4193,-0.1889,238,40.1109,60.7563,True,True
Overall Score,7,-0.3059,0.0,0.0301,-0.3609,-0.2487,1003,37.5743,66.1299,True,True
Overall Score,6,-0.2926,0.0,0.0292,-0.3464,-0.2369,1073,37.4837,66.0595,True,True
Labor Freedom,15,-0.2859,0.0,0.0429,-0.3643,-0.2035,502,38.6876,59.8954,True,True
Investment Freedom,10,-0.2858,0.0,0.0338,-0.3481,-0.221,804,37.87,68.1903,True,True
Monetary Freedom,15,-0.2821,0.0,0.0429,-0.3607,-0.1995,502,38.6876,77.5488,True,True
Investment Freedom,9,-0.2783,0.0,0.0326,-0.3385,-0.2158,869,37.7799,67.6812,True,True
Overall Score,5,-0.2757,0.0,0.0283,-0.3282,-0.2215,1154,37.4223,65.9244,True,True
Investment Freedom,8,-0.2693,0.0,0.0315,-0.3278,-0.2088,935,37.6679,67.262,True,True
Financial Freedom,15,-0.2613,0.0,0.0432,-0.341,-0.1779,502,38.6876,60.5976,True,True
Overall Score,4,-0.2612,0.0,0.0273,-0.3121,-0.2087,1250,37.4583,65.677,True,True
Investment Freedom,7,-0.2597,0.0,0.0305,-0.3165,-0.201,1003,37.5743,66.9093,True,True
Investment Freedom,6,-0.2496,0.0,0.0296,-0.3049,-0.1927,1073,37.4837,66.5657,True,True
Labor Freedom,10,-0.2486,0.0,0.0342,-0.3123,-0.1826,804,37.87,60.4945,True,True
Labor Freedom,9,-0.243,0.0,0.0331,-0.3048,-0.1791,863,37.7757,60.5163,True,True
Labor Freedom,8,-0.2425,0.0,0.0321,-0.3026,-0.1804,913,37.6009,60.6138,True,True
Overall Score,3,-0.2397,0.0,0.0264,-0.2892,-0.1889,1357,37.4542,65.319,True,True
Labor Freedom,7,-0.238,0.0,0.0314,-0.2969,-0.1774,958,37.4564,60.7714,True,True
Labor Freedom,6,-0.2323,0.0,0.0308,-0.2901,-0.1728,1000,37.275,60.8941,True,True
Investment Freedom,5,-0.2319,0.0,0.0287,-0.2858,-0.1765,1154,37.4223,66.1395,True,True
Monetary Freedom,10,-0.2263,0.0,0.0344,-0.2909,-0.1597,804,37.87,77.4234,True,True
Labor Freedom,5,-0.2224,0.0,0.0302,-0.2793,-0.1638,1042,37.0928,60.9976,True,True
Overall Score,2,-0.2193,0.0,0.0254,-0.2673,-0.1702,1476,37.5072,64.9175,True,True
Labor Freedom,4,-0.2145,0.0,0.0295,-0.2703,-0.1572,1095,37.0374,61.1046,True,True
Financial Freedom,10,-0.2129,0.0,0.0345,-0.278,-0.1459,804,37.87,60.4602,True,True
Investment Freedom,4,-0.211,0.0,0.0277,-0.2633,-0.1574,1250,37.4583,65.58,True,True
Labor Freedom,3,-0.208,0.0,0.0289,-0.2627,-0.152,1148,36.938,61.1125,True,True
Overall Score,1,-0.207,0.0,0.0244,-0.2534,-0.1597,1606,37.5491,64.4788,True,True
Monetary Freedom,9,-0.2061,0.0,0.0332,-0.2689,-0.1415,869,37.7799,77.4974,True,True
Financial Freedom,9,-0.205,0.0,0.0332,-0.2678,-0.1404,869,37.7799,60.5524,True,True
Financial Freedom,8,-0.2015,0.0,0.0321,-0.2623,-0.1392,935,37.6679,60.6524,True,True
Labor Freedom,2,-0.1925,0.0,0.0283,-0.2464,-0.1374,1201,36.9492,61.0937,True,True
Financial Freedom,7,-0.1891,0.0,0.031,-0.2481,-0.1287,1003,37.5743,60.7577,True,True
Labor Freedom,1,-0.1858,0.0,0.0279,-0.2389,-0.1317,1246,36.9276,61.0758,True,True
Investment Freedom,3,-0.1856,0.0,0.0267,-0.2365,-0.1337,1357,37.4542,65.0626,True,True
Monetary Freedom,8,-0.184,0.0,0.0322,-0.2452,-0.1213,935,37.6679,77.5152,True,True
Financial Freedom,6,-0.175,0.0,0.0301,-0.2324,-0.1163,1073,37.4837,60.8201,True,True
Investment Freedom,2,-0.1694,0.0,0.0257,-0.2186,-0.1195,1476,37.5072,64.4106,True,True
Financial Freedom,5,-0.1652,0.0,0.0291,-0.2208,-0.1085,1154,37.4223,60.6326,True,True
Investment Freedom,1,-0.1587,0.0,0.0247,-0.206,-0.1106,1606,37.5491,63.6613,True,True
Monetary Freedom,7,-0.1581,0.0,0.0312,-0.2179,-0.0972,1003,37.5743,77.5878,True,True
Financial Freedom,4,-0.1578,0.0,0.028,-0.2113,-0.1032,1250,37.4583,60.216,True,True
Financial Freedom,3,-0.1457,0.0,0.0269,-0.1974,-0.0932,1357,37.4542,59.7126,True,True
Financial Freedom,2,-0.137,0.0,0.0258,-0.1867,-0.0866,1476,37.5072,59.0447,True,True
Financial Freedom,1,-0.1353,0.0,0.0247,-0.183,-0.0869,1606,37.5491,58.3624,True,True
Monetary Freedom,6,-0.1295,0.0,0.0303,-0.1879,-0.0702,1073,37.4837,77.6226,True,True
Monetary Freedom,5,-0.1064,0.0003,0.0293,-0.1631,-0.049,1154,37.4223,77.5614,True,True
Monetary Freedom,3,-0.1053,0.0001,0.027,-0.1576,-0.0524,1357,37.4542,77.2629,True,True
Monetary Freedom,2,-0.1038,0.0001,0.0259,-0.154,-0.053,1476,37.5072,76.9574,True,True
Monetary Freedom,1,-0.1028,0.0,0.0248,-0.151,-0.0542,1606,37.5491,76.4977,True,True
Monetary Freedom,4,-0.0981,0.0005,0.0282,-0.1527,-0.0429,1250,37.4583,77.4706,True,True
